czas,liczba miast,best cost
1073629200,44,4236
1145399400,44,102569
1156021000,44,162605
1260167700,44,185261
5054282100,44,3713927
czas,liczba miast,best cost
1159034200,44,4373
1228765000,100,108485
1328688600,150,151789
1332857200,202,188515
czas,liczba miast,best cost
287027000,44,4166
387431600,100,112044
571663000,150,166829
1297640200,202,186741
4412410100,666,3645242
czas,liczba miast,best cost
422804000,44,4344
756881800,100,107150
608388000,150,162758
704202800,202,191047
3934392300,666,3555143
